é¸îgêî,êUïù
0.21645,7.395061
0.4329,1.714748
0.649351,2.184704
0.865801,1.408618
1.082251,1.524517
1.298701,3.662776
1.515152,2.60145
1.731602,2.07467
1.948052,1.524301
2.164502,1.268279
2.380952,2.414764
2.597403,1.910865
2.813853,1.094816
3.030303,1.143968
3.246753,0.765736
3.463203,0.262022
3.679654,1.13597
3.896104,1.452034
4.112554,0.804867
4.329004,0.506552
4.545455,0.555232
4.761905,0.93276
4.978355,0.586642
5.194805,0.689708
5.411255,0.586696
5.627706,0.78474
5.844156,1.07413
6.060606,0.146928
6.277056,0.374483
6.493506,0.486878
6.709957,0.649216
6.926407,0.486628
7.142857,0.2916
7.359307,0.328472
7.575758,0.323198
7.792208,0.110711
8.008658,0.532663
8.225108,0.502376
8.441558,0.326407
8.658009,0.460333
8.874459,0.564034
9.090909,0.427585
9.307359,0.424261
9.52381,0.505172
9.74026,0.307431
9.95671,0.474096
10.17316,0.474806
10.38961,0.2254
10.60606,0.437073
10.82251,0.994659
11.03896,0.994671
11.25541,0.685117
11.47186,0.570958
11.68831,0.721221
11.90476,0.909733
12.12121,1.116039
12.33766,0.919743
12.55411,0.415376
12.77056,0.801253
12.98701,0.536256
13.20346,0.647186
13.41991,0.516814
13.63636,0.626618
13.85281,0.206116
