time	x_LK	y_LK	x_RK	y_RK	x_LA	y_LA	x_RA	y_RA		ç∂âEkneeãóó£		
1.161446	511.0084561	212.0888254	493.2005525	212.8942149	519.0664656	244.3221113	499.9316691	248.4680698		17.82610678	19.5788	33.22523492
1.194571	519.5477029	219.6578075	502.2747247	218.3925952	517.8867093	254.5647761	502.688953	255.3369815		17.31925338	15.2173617	34.9464642
1.234621	518.6965166	220.257651	501.6812212	218.7025161	517.1986108	254.6554592	502.9917244	255.2195218		17.08621435	14.21807959	34.43040702
1.27264	519.6503241	216.1098039	498.821451	215.7497359	517.4172416	251.722576	499.0757278	252.8235538		20.83198511	18.37452802	35.6827156
1.303426	521.1543676	217.3202151	498.2332084	217.437034	518.4828769	252.8369758	498.3464526	252.9983437		22.92145689	20.13707083	35.61709073
1.335562	521.1408107	215.6307924	495.7345517	216.8248476	518.5653988	253.4728363	494.8142318	253.4637646		25.43430293	23.75116876	37.92957989
1.375472	517.9117997	214.3028541	492.8065585	216.1188419	516.9035284	252.8121214	495.8090474	252.7870985		25.17083529	21.09449584	38.52246467
1.425442	519.7185472	215.3635658	490.7375417	214.7595405	517.3631487	252.4382942	490.9375907	251.4302252		28.98729938	26.44477867	37.14947359
1.473997	519.6314726	215.1774446	489.7484254	215.2540312	516.3959866	252.6457624	489.1646007	251.5632989		29.88314528	27.25289173	37.6077546
1.508632	518.6142645	215.8314822	484.0034911	215.5343426	517.2258258	254.5331433	484.3518907	252.9153834		34.61204882	32.91371683	38.72655851
1.550033	519.4723641	214.4960235	488.5384189	218.3577586	516.6161687	253.5260523	481.8897905	251.8186211		31.17405919	34.76832847	39.13439667
1.599481	519.5715793	215.1033874	488.5669829	216.9255129	514.9652584	252.6590833	480.9863998	251.1862004		31.05809297	34.01076613	37.83713104
1.634262	518.5133631	214.8592952	482.2327605	213.4249923	511.3466374	251.515445	479.5148323	251.2317612		36.30894311	31.83306922	37.35017101
1.675089	518.5186578	214.5492057	487.0163332	216.7061402	519.3319049	250.4088353	482.90194	249.9981818		31.57607985	36.43227934	35.86885007
1.697903	520.1019183	210.5656943	487.2166857	211.6663685	514.9493408	247.1133549	480.7032556	247.7008555		32.90364725	34.25112419	36.90908494
1.728148	520.1019183	210.5656943	487.2166857	211.6663685	514.9493408	247.1133549	480.7032556	247.7008555		32.90364725	34.25112419	36.90908494
1.766563	519.0003672	213.9549266	486.0215851	213.9199214	512.7897422	247.8106936	480.8245598	246.3102248		32.97880067	32.00037958	34.42070342
1.802372	518.7438984	214.9857254	485.5323553	215.8538747	518.7322974	248.9296462	466.6965532	247.7998009		33.22288787	52.04800892	33.94392279
1.831655	516.5168186	214.6015449	482.0417832	214.2533477	518.0045736	249.5983872	465.110561	250.6602455		34.47679378	52.90467001	35.02845111
1.857476	516.2411948	216.1704054	480.3418724	215.6075905	517.1235418	251.1840084	465.0849985	251.6391098		35.90373391	52.04053334	35.02471886
1.906914	505.1851479	210.7473639	475.3378816	214.5531177	512.7886293	250.5403241	463.1855108	251.3336068		30.08891934	49.60946146	40.5128697
1.944762	505.1851479	210.7473639	475.3378816	214.5531177	512.7886293	250.5403241	463.1855108	251.3336068		30.08891934	49.60946146	40.5128697
2.000201	498.3424058	215.6603344	472.0549126	217.9489262	508.2128958	252.3202612	466.5235843	252.6394898		26.38692762	41.69053378	37.96546864
2.042589	492.6944609	216.3740629	473.0700973	217.8550394	502.7363685	252.535722	467.0042145	252.8350198		19.68016603	35.73340745	37.53006125
2.064865	490.4557127	216.4788424	473.1568347	218.6623511	500.4684493	252.5771009	467.8558055	253.4811997		17.43613748	32.62517328	37.46116874
2.099317	488.1596005	217.8269812	471.6525214	219.2369694	495.1959504	253.2974056	465.4014617	253.9844923		16.56718829	29.80241005	36.1615987
2.130789	486.1954982	216.2930585	465.6181028	217.4661376	489.9659771	252.9069188	464.1132836	253.0530436		20.61080583	25.85310639	36.80748936
2.160351	483.4384504	214.3778893	465.1960506	214.9127136	486.3726488	252.8025439	465.2254577	251.6842321		18.25023803	21.17673994	38.53652295
2.196185	468.6588681	215.2052667	465.7293236	214.774615	473.7165133	254.0920372	464.8100154	253.2147488		2.961028884	8.949600025	39.214292
2.226403	468.6588681	215.2052667	465.7293236	214.774615	473.7165133	254.0920372	464.8100154	253.2147488		2.961028884	8.949600025	39.214292
2.26389	469.2604653	212.5805507	461.4903213	212.4114264	469.4630098	252.7153681	459.4324334	252.1390975		7.771984333	10.04711662	40.13532848
2.306719	463.612318	215.8082128	457.6631866	218.6681516	467.2962281	255.3528654	455.4531036	257.2248682		6.600864627	11.99016228	39.71587516
2.351118	463.612318	215.8082128	457.6631866	218.6681516	467.2962281	255.3528654	455.4531036	257.2248682		6.600864627	11.99016228	39.71587516
2.394978	456.9999425	215.6912253	447.6581727	218.974464	462.9038504	255.1313006	439.3215717	255.0479356		9.901935149	23.58242607	39.87951444
2.445176	446.7608187	217.2966423	439.403554	216.6225728	460.5584342	255.9303838	430.4098803	253.5795381		7.388079101	30.24006905	41.02365392
2.49946	437.8047131	220.2786272	456.4301131	218.0179586	460.2070331	256.8953876	447.043221	257.4541894		18.7620933	13.17566737	42.92611199
2.534289	455.0780623	220.3992231	428.4566707	220.3798994	463.4202615	256.0289919	417.8838171	252.3891925		26.62139858	45.68168023	36.59334247
2.559083	455.0780623	220.3992231	428.4566707	220.3798994	463.4202615	256.0289919	417.8838171	252.3891925		26.62139858	45.68168023	36.59334247
2.593292	454.833869	218.5306263	426.7814457	219.4563758	458.2753393	255.2189485	411.9968722	253.5250068		28.06769429	46.30945858	36.84937861
2.635908	435.1154837	218.101155	426.3316726	218.0626088	451.4682769	254.7160944	415.7969268	253.4584025		8.783895678	35.69351496	40.10071861
2.658672	434.8051582	217.519185	426.5287202	217.4114378	448.0244122	254.922045	415.8458261	253.6399035		8.277139287	32.20411907	39.67017287
2.693868	429.8840266	218.8196722	427.7424364	218.6822819	446.0757553	254.7829685	418.3323424	253.3024978		2.14599267	27.78288602	39.44021752
2.721646	422.4827525	218.1887692	428.9297131	218.3109164	430.4712237	253.7464367	439.7648023	254.723345		6.448117714	9.344782153	36.44397609
2.7632	421.6230678	218.310107	426.3960512	218.1369695	432.6452561	254.4307581	418.9821982	254.4194269		4.776122622	13.66306261	37.76493173
2.797948	417.2481252	213.6397111	424.2040441	213.7388926	425.2389234	253.0824169	411.7101196	251.9978289		6.956625899	13.57220928	40.24400448
2.82745	417.2481252	213.6397111	424.2040441	213.7388926	425.2389234	253.0824169	411.7101196	251.9978289		6.956625899	13.57220928	40.24400448
2.856107	416.0423679	211.8752532	421.0455493	211.8147191	420.3748523	253.7580376	407.6559907	251.5380736		5.003547619	12.91114562	42.10627099
2.904787	411.9185658	212.0206698	417.2113327	212.8753296	419.7422293	253.0375644	417.4261864	253.9165053		5.361326771	2.477214527	41.75638101
2.920105	411.9185658	212.0206698	417.2113327	212.8753296	419.7422293	253.0375644	417.4261864	253.9165053		5.361326771	2.477214527	41.75638101
2.962551	406.217877	211.2239473	415.7461726	212.7956068	415.6939009	253.7790138	414.1718826	255.7796051		9.657045668	2.51374329	43.59734758
2.998763	396.7206409	207.8288132	414.0849092	208.9781508	402.345991	252.6140284	391.6269113	250.6219691		17.40226391	10.90261291	45.13712507
3.02658	396.7206409	207.8288132	414.0849092	208.9781508	402.345991	252.6140284	391.6269113	250.6219691		17.40226391	10.90261291	45.13712507
3.065021	392.748292	209.225177	411.2528936	211.4298642	401.7397062	252.440149	387.7245728	251.2888891		18.63547496	14.06233847	44.14045009
3.09981	394.1157882	208.4724302	414.4417397	212.2920444	400.9226145	251.3929605	393.2723921	251.0352531		20.68172519	7.658580714	43.4569305
3.132071	394.1157882	208.4724302	414.4417397	212.2920444	400.9226145	251.3929605	393.2723921	251.0352531		20.68172519	7.658580714	43.4569305
3.167218	390.5258998	210.1000711	415.5908749	214.9539914	399.2944003	251.2934418	396.3186543	251.6319604		25.53063886	2.994938915	42.11627236
3.201701	388.7052581	211.4560675	413.9946645	216.6587584	402.2256648	250.8794496	399.5349853	250.8160153		25.8190253	2.691427174	41.67738539
3.220936	383.1802024	210.6796804	410.1370774	217.6174559	393.1005698	250.7101904	407.5230518	251.3728274		27.83533433	14.43769634	41.24142843
3.260375	384.656525	213.8883223	393.7594973	213.1943222	399.8103056	253.6667138	404.7646551	253.5396429		9.129388801	4.955978815	42.56709411
3.285991	355.2983873	217.3359304	392.4953642	214.7074711	345.9930054	252.5681979	406.0375226	254.2889162		37.28972893	60.06916777	36.44040074
3.325382	353.4479676	218.6530434	388.6277273	216.9540769	344.330764	253.5820673	399.8835535	257.0564183		35.22076063	55.66132888	36.09930909
3.355255	358.0341892	218.8670878	352.5710164	218.8970681	402.8706981	256.5605787	389.2089891	256.5741019		5.463255026	13.66171566	58.57569283
3.404218	356.1574313	217.2634244	351.4859562	217.0862738	380.8104714	254.2113854	348.8119025	252.2860316		4.674832792	32.05644081	44.41761145
3.431035	356.1574313	217.2634244	351.4859562	217.0862738	380.8104714	254.2113854	348.8119025	252.2860316		4.674832792	32.05644081	44.41761145
3.458795	355.0347017	218.5316043	348.9376244	219.0141906	374.1280518	255.3992692	348.6805824	252.8687435		6.116145879	25.57297907	41.51843842
