time	x_LK	y_LK	x_RK	y_RK	x_LA	y_LA	x_RA	y_RA	x_LW	y_LW	x_RW	y_RW	ŽèŽñ‹——£
1.626708	511.0084561	212.0888254	493.2005525	212.8942149	519.0664656	244.3221113	499.9316691	248.4680698	511.4949205	170.8203856	485.9197395	174.5517113	25.84594121
1.742582	518.5186578	214.5492057	487.0163332	216.7061402	519.3319049	250.4088353	482.90194	249.9981818	526.3061357	169.3330354	501.0909215	178.0004997	26.6633075
1.885868	518.7438984	214.9857254	485.5323553	215.8538747	518.7322974	248.9296462	466.6965532	247.7998009	520.5630225	173.7744473	489.9133344	181.2149758	31.53989294
1.998916	505.1851479	210.7473639	475.3378816	214.5531177	512.7886293	250.5403241	463.1855108	251.3336068	510.2060343	175.9444666	477.1481364	175.0030356	33.07130034
2.116351	492.6944609	216.3740629	473.0700973	217.8550394	502.7363685	252.535722	467.0042145	252.8350198	498.4082345	169.8136993	480.0351553	169.6693956	18.37364585
2.23136	483.4384504	214.3778893	465.1960506	214.9127136	486.3726488	252.8025439	465.2254577	251.6842321	483.2590403	170.7163143	454.8860732	179.4219201	29.67849109
2.367639	469.2604653	212.5805507	461.4903213	212.4114264	469.4630098	252.7153681	459.4324334	252.1390975	482.6172108	175.5139835	442.4308973	171.7540939	40.3618206
2.503021	463.612318	215.8082128	457.6631866	218.6681516	467.2962281	255.3528654	455.4531036	257.2248682	480.9085318	177.5461402	442.4655652	177.7515176	38.44351516
2.645936	458.1504604	213.5859218	443.8034521	216.2275671	460.2901958	254.5316257	432.1914362	253.3586815	460.0556137	176.1763508	436.0246074	171.2138064	24.53805436
2.778981	442.6718869	220.4561487	433.57485	220.0828273	463.4041416	257.7504522	421.0329704	254.0873496	450.4429077	183.3236853	432.4820333	177.8618953	18.77296347
2.89602	421.6230678	218.310107	426.3960512	218.1369695	432.6452561	254.4307581	418.9821982	254.4194269	432.6116673	168.061247	426.8083235	170.3228261	6.228445957
3.005021	406.217877	211.2239473	415.7461726	212.7956068	415.6939009	253.7790138	414.1718826	255.7796051	411.248206	172.0773019	419.1043791	172.9355027	7.902908656
3.134792	392.748292	209.225177	411.2528936	211.4298642	401.7397062	252.440149	387.7245728	251.2888891	391.0389048	170.0313184	397.4134944	165.2159443	7.988943649
3.239063	390.5258998	210.1000711	415.5908749	214.9539914	399.2944003	251.2934418	396.3186543	251.6319604	381.178397	167.6487724	385.75467	163.0087615	6.517052683
3.361514	355.2983873	217.3359304	392.4953642	214.7074711	345.9930054	252.5681979	406.0375226	254.2889162	371.1524744	168.5352337	372.4224417	166.2714288	2.595694394
3.475495	356.1574313	217.2634244	351.4859562	217.0862738	380.8104714	254.2113854	348.8119025	252.2860316	366.0740554	170.2385168	359.2642613	172.743716	7.255984943
3.598717	354.6827948	217.1213127	350.7857509	217.3486442	367.1677826	255.7003882	347.6832375	253.437224	365.6191226	168.5978586	349.8246253	170.887226	15.95955345
3.71607	330.9389796	218.8021359	345.3127983	217.2365803	346.5461079	255.9979999	346.7193803	255.3120934	336.3382459	171.5068317	329.6705636	169.0321187	7.112115844
3.831756	325.1124002	216.630734	312.7364074	216.7370311	343.5271281	259.733777	306.6923101	254.8801265	334.0183248	174.9359929	324.179299	173.2045841	9.99020548
3.946582	317.6577752	222.5605417	323.2117996	222.1671884	326.7832411	258.5133836	316.2007088	258.0127214	315.0864776	180.3961305	317.9075666	179.2112819	3.059805551
4.065439	298.3149709	222.9051305	323.5565908	215.7845051	319.8298853	258.9377627	316.5134287	259.0988608	313.1965337	178.2933563	310.1131079	179.0744985	3.18083287
4.170298	280.8836767	231.1351983	287.2446926	230.4048103	281.9313373	261.6501603	298.6827279	259.1394979	298.9519105	182.1828461	293.9308892	181.6071825	5.053913652
4.299516	275.3628702	223.5745797	288.8500758	223.421002	280.8141384	261.0524076	289.4182528	261.9120923	281.6786962	178.1927248	287.4541505	177.2332179	5.85461574
4.41497	268.2536433	220.7582457	279.6641938	218.9019581	275.6755226	263.5844508	280.2718275	262.5592502	262.5168196	171.403165	267.2735144	169.8659036	4.998931744
