time	x_LK	y_LK	x_RK	y_RK	x_LA	y_LA	x_RA	y_RA	x_LW	y_LW	x_RW	y_RW	
2.554195	165.806139	415.4902572	171.7534047	420.0551739	167.4040917	512.8077122	167.473648	512.0098948	139.5518452	311.5222025	130.8823071	305.1783082	10.74271319
2.637585	153.0423912	414.7688929	175.5675272	420.1326909	162.135195	507.188032	176.8335246	510.5381353	134.4805599	311.3463643	162.6341728	306.0032375	28.65614984
3.127359	150.936379	408.8827669	171.0331043	416.250114	159.5465064	502.5763011	172.2254035	502.3632433	136.6877432	311.2899365	160.2270603	306.093389	24.10608957
3.308586	154.9802978	413.8952304	167.4844396	416.0331803	160.703011	502.1315661	172.2843393	506.1806907	137.7771614	312.1288113	132.8288204	302.0420796	11.23513392
3.394827	156.9764561	414.6433457	169.4077167	417.3084494	160.1760662	506.9350377	172.9780216	508.801108	135.5974511	311.9846448	135.7417125	308.6009887	3.38672995
3.499467	156.6039564	413.0378693	177.0431435	414.2373693	159.7187538	501.2382964	174.6803183	499.270732	134.8266507	310.8517183	135.7935235	305.9325602	5.013278329
3.535052	148.178122	412.2183548	182.8009864	412.4049656	149.26963	502.3616093	177.4754339	500.7441634	130.9997416	307.7742165	163.1381855	303.5533955	32.41442433
3.582449	145.8995015	413.7816908	181.6530125	415.6941573	145.6391165	501.4136977	178.4538584	502.2243586	118.7598796	303.8780171	168.281573	307.7012023	49.66905333
3.612075	138.7029768	410.9355241	171.9569819	414.3560767	134.5483113	497.475035	173.1067417	497.2592792	109.165761	296.1559346	171.9074698	301.9407755	63.00782806
3.646716	140.7930675	404.9754529	178.5471068	404.5375198	142.865641	499.0748875	181.2221091	500.8091409	108.9896188	295.9073672	144.454075	283.4068922	37.60305208
3.676716	125.4293265	400.5050386	179.298091	408.4060372	146.0834334	493.6953201	180.1796191	498.0042786	101.2402724	284.295944	153.5752827	273.1582297	53.50702745
3.735983	142.0242963	403.2410475	173.3978295	411.2476441	181.3410065	497.290894	136.7613844	483.4209326	90.63117476	269.9015838	154.635518	269.8254917	64.00438846
3.766485	162.3484238	412.55221	174.895827	411.2860606	164.6684247	488.4199447	169.9170872	500.390435	120.0570358	261.3184354	159.3771849	264.4610857	39.44553684
3.809885	161.3709114	412.1418258	204.1098462	418.1215801	173.879765	502.2083232	174.0384279	499.8075374	134.2937971	255.8357019	164.3527899	257.3468659	30.09695434
3.843714	164.1160969	414.453505	201.2740151	421.7748738	175.1229063	503.7150413	197.9511947	500.6571468	130.8483744	246.0774866	162.7403788	254.7236366	33.04324214
3.882169	166.4173836	409.1385731	180.5266978	407.5303988	173.6642183	504.4336697	173.1463742	501.0809825	145.9973097	250.2311831	163.6623754	258.5951559	19.5450911
