ŽžŠÔ,•G,‘«Žñ, ŽèŽñ
1.503233,17.8261067809,19.578800002,25.8459412146
1.558399,31.1740591924,34.7683284705,21.1782921823
1.625675,36.3089431106,31.8330692231,20.0115605075
1.690691,34.1593616026,33.173834369,34.9537771189
1.755653,32.9788006678,32.0003795801,34.3318502858
1.801716,34.4767937819,52.9046700093,26.6475452855
1.839916,35.9037339111,52.0405333442,34.8706074795
1.914716,30.088919343,49.6094614603,33.071300336
1.992886,26.3869276166,41.690533781,29.8122997622
2.05735,17.4361374839,32.625173285,27.8532030354
2.103391,20.610805834,25.8531063922,22.1727052664
2.136392,18.250238027,21.1767399447,29.678491095
2.168409,12.1152778971,17.4005924533,30.5766543526
2.217423,2.9610288844,8.9496000251,31.0242265807
2.275844,9.9000927998,10.480506722,41.0445569064
2.303676,6.6008646266,11.9901622775,38.4435151643
2.338949,6.9636193652,17.025833312,40.9143824067
2.368827,9.9019351491,23.5824260656,20.4424664501
2.406173,14.588178056,28.1232304501,24.5380543646
2.437019,7.3880791006,30.2400690515,20.1872275694
2.492469,18.7620933024,13.1756673711,20.4269519937
2.557899,26.6213985768,45.681680233,17.7148340439
2.604576,8.7838956778,35.6935149569,17.0806118091
2.634436,8.2771392866,32.2041190689,9.3733816824
2.68886,2.1459926703,27.7828860204,3.7987642877
2.71772,4.7761226217,13.6630626122,6.228445957
2.74787,4.7761226217,13.6630626122,6.228445957
2.780749,9.1413036588,7.8548645088,10.8456383158
2.822187,5.0035476185,12.911145624,7.1708801227
2.859431,5.0035476185,12.911145624,7.1708801227
2.887249,8.3858880355,1.364988637,5.734077214
2.917453,5.3613267709,2.4772145266,0.6243535788
2.942276,9.657045668,2.5137432896,7.9029086557
2.989697,15.3921691227,7.7153859308,15.8890364492
3.025002,18.6354749591,14.0623384709,7.9889436494
3.055792,18.6354749591,14.0623384709,7.9889436494
3.081919,1.2784145984,12.1121851193,6.1731037656
3.110815,20.6817251923,7.6585807142,6.2579334231
3.139066,25.5306388607,2.9949389148,6.5170526826
3.167881,25.819025304,2.6914271736,5.5677449714
3.206399,27.835334334,14.4376963436,9.3869874525
3.252253,9.1293888012,4.9559788152,2.1355834572
3.301186,35.220760634,55.6613288827,2.1642028661
3.337404,5.4632550255,13.6617156584,4.906539075
3.383497,23.0295269069,7.0831893047,0.8844932716
3.423987,6.1161458793,25.5729790706,12.4209306658
3.448514,6.1161458793,25.5729790706,12.4209306658
3.489016,4.585158193,8.0286382901,19.2138196182
3.518862,4.585158193,8.0286382901,19.2138196182
3.554148,9.1863802272,4.93319615,4.2171053874
3.581875,9.1863802272,4.93319615,4.2171053874
3.622396,14.4588252915,0.707453859,7.1121158438
3.647014,14.4588252915,0.707453859,7.1121158438
3.689365,14.6905608157,4.3653941418,5.8535500477
3.715734,14.6905608157,4.3653941418,5.8535500477
3.754448,12.3764491952,37.1532197542,9.99020548
3.790842,6.0553384846,15.725496608,9.9483567152
3.819696,6.0553384846,15.725496608,9.9483567152
3.854948,5.5679362544,10.5943689583,3.0598055511
3.88467,5.5679362544,10.5943689583,3.0598055511
3.923168,5.5453602453,9.2504574938,6.0100296012
3.947771,5.5453602453,9.2504574938,6.0100296012
3.98723,30.3912205963,4.2509395105,4.058127898
4.016074,30.3912205963,4.2509395105,4.058127898
4.05626,26.945312243,29.8487433075,7.0849670086
4.076027,26.945312243,29.8487433075,7.0849670086
4.121602,6.4028110197,16.9384919526,5.0539136521
4.156763,11.7417946785,11.5254998268,3.4541885877
4.184639,11.7417946785,11.5254998268,3.4541885877
4.214381,5.5987331876,3.2764381079,2.9909591395
4.243816,5.5987331876,3.2764381079,2.9909591395
4.291127,8.3018129636,1.2097019959,3.7015361535
4.32094,11.5605564784,4.7092520975,4.9989317442
4.347227,11.5605564784,4.7092520975,4.9989317442
4.382012,15.9363566691,12.7950112026,6.00026349
4.42697,17.556564088,36.3302080053,2.9461037199
4.442994,17.556564088,36.3302080053,2.9461037199
4.488488,25.5495025758,26.5597999504,17.1657299333
4.5192,32.096308024,32.4174914906,15.5962345241
4.547451,32.096308024,32.4174914906,15.5962345241
4.583366,29.837286932,30.5507097154,9.058125146
4.622806,30.7883475321,9.5807949022,5.6788103279
4.649136,30.7883475321,9.5807949022,5.6788103279
4.683884,37.8663182716,9.8142285792,2.1419137154
4.727332,35.6219562594,6.9798199038,5.2314765476
4.742024,35.6219562594,6.9798199038,5.2314765476
4.769095,29.8509195626,6.1963046971,7.714501392
4.82026,23.8081675984,5.5658043184,9.8810103071
4.854478,9.9636078188,2.948011852,13.1128642104
4.883298,9.9636078188,2.948011852,13.1128642104
4.923683,15.2506140872,3.000982612,2.3749249606
4.939573,15.2506140872,3.000982612,2.3749249606
4.970449,14.6015085463,6.0791659753,2.4931679386
5.016586,11.2999638441,1.1122788178,4.9866821629
5.054153,4.2225146663,16.9359623868,15.3023034772
5.084288,4.2225146663,16.9359623868,15.3023034772
5.099807,19.7789505709,1.4855926945,3.7376384042
5.158754,30.2197010241,1.3709811383,4.6650773094
5.183298,33.526122074,45.5669298793,2.0905969782
5.223858,33.526122074,45.5669298793,2.0905969782
5.249299,42.7425736994,61.5402107298,49.1053617447
5.288083,42.7425736994,61.5402107298,49.1053617447
5.32048,23.0153976831,59.2650939051,51.2504138336
5.348077,23.0153976831,59.2650939051,51.2504138336
5.381702,7.2327190572,27.2682871923,12.327553988
5.423963,31.6334018679,33.540530575,14.1695333594
5.450259,31.6334018679,33.540530575,14.1695333594
5.485976,24.001569822,18.1447258479,4.236127948
5.513822,24.8464442577,19.2372901715,4.1361540183
5.551071,24.8464442577,19.2372901715,4.1361540183
5.589527,16.3945331069,11.0666566618,10.2952422571
5.618316,16.3945331069,11.0666566618,10.2952422571
5.655645,19.0109497542,9.4602191826,13.5480562776
5.683411,19.0109497542,9.4602191826,13.5480562776
5.724826,21.876422703,16.1379954794,10.5422978304
5.74038,21.876422703,16.1379954794,10.5422978304
5.767637,20.8004587421,1.1858934617,2.6652453453
5.818818,35.2237142826,37.5622945693,17.9839974256
5.862142,35.8920674313,46.4702412411,16.8714281192
5.876697,35.8920674313,46.4702412411,16.8714281192
5.920242,38.0057209226,50.767659694,28.5813430172
5.960406,33.8983389851,40.3172966582,10.6731221156
5.977598,33.8983389851,40.3172966582,10.6731221156
6.008477,21.8647510207,47.5521933029,13.0776494272
6.036297,29.4341580611,5.8260696325,8.7266676169
6.072487,27.7432185518,3.2901349648,6.9515431144
6.117658,28.7383246733,3.0961880542,7.1154194431
6.153833,23.684449885,11.2903126388,10.6017078639
6.183328,23.684449885,11.2903126388,10.6017078639
6.225697,18.2234325598,11.2178543674,15.1166872682
6.239747,18.2234325598,11.2178543674,15.1166872682
6.290239,10.4191446047,3.6172561007,5.6170163142
6.31795,7.6013792858,2.3772236566,3.2401643147
6.344201,7.6013792858,2.3772236566,3.2401643147
6.37134,12.7994546346,7.9836828548,2.0895977841
6.423314,20.4731170889,2.2838601798,0.4688971705
6.45665,33.0448219877,6.8279463905,29.0991454424
6.483567,33.0448219877,6.8279463905,29.0991454424
6.527914,32.075961962,6.3580912757,22.1599641154
6.541895,32.075961962,6.3580912757,22.1599641154
6.56875,35.1395219086,6.5476984275,11.7954004078
6.600578,34.4275080927,56.9982347031,15.1282286881
6.656055,9.0563514202,59.7247874073,12.5815750897
6.680915,28.4132611885,3.9315482901,8.6233346807
6.724338,28.4132611885,3.9315482901,8.6233346807
6.760942,22.5028965224,5.314076629,12.1463767909
6.77841,22.5028965224,5.314076629,12.1463767909
6.806687,21.7551174848,18.9355658068,24.2088965263
6.859639,14.1428003528,13.5910993557,10.9801465381
6.899858,10.7918207972,4.1426134142,19.2134221459
6.93668,14.2717394612,4.3371446215,24.0456497851
6.984815,14.0409093083,5.362053746,23.0304842051
7.025205,2.8405391832,4.4846492188,9.747541348
7.051748,3.5036685073,3.4868978091,5.1129905627
7.088229,2.7741180128,5.6457590434,4.8699072784
7.119104,3.5945039333,7.3496891638,7.7669514325
7.152272,4.833361085,9.7097932173,1.0860839468
7.180076,3.5635433569,1.0687946995,2.1406408934
7.220553,2.3346795296,1.085899761,1.724598576
7.260809,33.9002499968,1.3685021222,2.2992826967
7.28856,0.9717696845,1.5247789704,2.065390172
7.315017,0.9717696845,1.5247789704,2.065390172
7.330439,4.8204114832,2.3318818422,6.5262469922
7.369854,4.1126127872,2.5698434934,221.6139530101
7.418992,4.6416991629,1.0627887535,35.3777358051
7.458163,6.1568092063,1.6324868253,705.0016374921
7.475134,6.1568092063,1.6324868253,705.0016374921
7.505213,5.7072568961,1.4061349,704.2446363466
7.549068,6.5615642214,486.8311900292,416.5739479747
7.586457,4.5409026076,1.3019151759,513.8748849
7.618384,49.8809874309,1.7368293011,8.7660139802
7.654544,3.6035983175,1.9873542961,424.6429857735
7.679399,4.4187561912,2.5081195075,430.1331457754
7.722782,4.2333799288,61.1779554204,2.1339211519
