x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,x_LW,y_LW,x_RW,y_RW
511.0084561,212.0888254,493.2005525,212.8942149,519.0664656,244.3221113,499.9316691,248.4680698,511.4949205,170.8203856,485.9197395,174.5517113
519.4723641,214.4960235,488.5384189,218.3577586,516.6161687,253.5260523,481.8897905,251.8186211,523.4378672,174.322154,502.4763587,177.3446073
518.5133631,214.8592952,482.2327605,213.4249923,511.3466374,251.515445,479.5148323,251.2317612,522.616324,175.0873449,502.6907403,176.9403613
521.2784034,212.7612086,487.1773302,214.7558983,515.5509043,248.5386873,482.377705,248.3334111,530.0182051,170.2583127,496.3284261,179.5731035
519.0003672,213.9549266,486.0215851,213.9199214,512.7897422,247.8106936,480.8245598,246.3102248,523.6678291,174.6103905,489.4105139,172.349351
516.5168186,214.6015449,482.0417832,214.2533477,518.0045736,249.5983872,465.110561,250.6602455,509.8321733,174.0034313,483.4777723,177.9451591
516.2411948,216.1704054,480.3418724,215.6075905,517.1235418,251.1840084,465.0849985,251.6391098,516.3330244,179.4644794,481.567493,182.1694915
505.1851479,210.7473639,475.3378816,214.5531177,512.7886293,250.5403241,463.1855108,251.3336068,510.2060343,175.9444666,477.1481364,175.0030356
498.3424058,215.6603344,472.0549126,217.9489262,508.2128958,252.3202612,466.5235843,252.6394898,497.9046047,170.6090392,468.1054621,169.723421
490.4557127,216.4788424,473.1568347,218.6623511,500.4684493,252.5771009,467.8558055,253.4811997,494.8424922,170.7011049,466.9910285,171.0123747
486.1954982,216.2930585,465.6181028,217.4661376,489.9659771,252.9069188,464.1132836,253.0530436,486.3283696,173.1893748,465.218949,179.973269
483.4384504,214.3778893,465.1960506,214.9127136,486.3726488,252.8025439,465.2254577,251.6842321,483.2590403,170.7163143,454.8860732,179.4219201
475.4756429,212.2903245,463.3866727,213.0882948,481.0804215,251.80557,463.7272146,250.5222819,475.6141125,172.827452,445.0827271,171.1642325
468.6588681,215.2052667,465.7293236,214.774615,473.7165133,254.0920372,464.8100154,253.2147488,480.5681922,179.1979947,449.8397255,174.9243582
466.9909611,213.9763074,457.0962574,213.6496934,466.5810832,255.4645583,456.3498507,253.1923562,482.6344436,175.2512421,441.7357168,178.7080905
463.612318,215.8082128,457.6631866,218.6681516,467.2962281,255.3528654,455.4531036,257.2248682,480.9085318,177.5461402,442.4655652,177.7515176
458.7353981,215.2287384,452.6765635,218.6613057,462.2088723,255.1594262,445.1992088,255.9012803,477.0375901,177.9635385,436.1280717,178.5944078
456.9999425,215.6912253,447.6581727,218.974464,462.9038504,255.1313006,439.3215717,255.0479356,456.9307078,178.0627199,437.3289391,172.2605565
458.1504604,213.5859218,443.8034521,216.2275671,460.2901958,254.5316257,432.1914362,253.3586815,460.0556137,176.1763508,436.0246074,171.2138064
446.7608187,217.2966423,439.403554,216.6225728,460.5584342,255.9303838,430.4098803,253.5795381,451.2799637,181.5989202,432.0377235,175.4947947
437.8047131,220.2786272,456.4301131,218.0179586,460.2070331,256.8953876,447.043221,257.4541894,454.3886823,179.4035407,434.2049437,176.2607612
455.0780623,220.3992231,428.4566707,220.3798994,463.4202615,256.0289919,417.8838171,252.3891925,445.4326105,183.4420218,428.1321138,179.6330642
435.1154837,218.101155,426.3316726,218.0626088,451.4682769,254.7160944,415.7969268,253.4584025,445.2295264,178.6729166,428.1504595,178.9026425
434.8051582,217.519185,426.5287202,217.4114378,448.0244122,254.922045,415.8458261,253.6399035,447.2068147,176.6045744,438.4362232,173.2974592
429.8840266,218.8196722,427.7424364,218.6822819,446.0757553,254.7829685,418.3323424,253.3024978,444.160721,176.5940526,441.2288833,174.178491
421.6230678,218.310107,426.3960512,218.1369695,432.6452561,254.4307581,418.9821982,254.4194269,432.6116673,168.061247,426.8083235,170.3228261
421.6230678,218.310107,426.3960512,218.1369695,432.6452561,254.4307581,418.9821982,254.4194269,432.6116673,168.061247,426.8083235,170.3228261
417.2062741,216.6811172,426.347253,216.7581759,427.1191549,253.9351208,419.2867907,253.3410103,424.8698849,173.4628403,435.0143463,169.6264653
416.0423679,211.8752532,421.0455493,211.8147191,420.3748523,253.7580376,407.6559907,251.5380736,415.8996155,171.6576441,408.8191887,170.5222681
416.0423679,211.8752532,421.0455493,211.8147191,420.3748523,253.7580376,407.6559907,251.5380736,415.8996155,171.6576441,408.8191887,170.5222681
412.9009036,212.5126312,421.2843469,212.7151083,418.8968435,254.3985857,420.2234328,254.7200738,412.9339866,171.2591985,418.5723877,170.2160906
411.9185658,212.0206698,417.2113327,212.8753296,419.7422293,253.0375644,417.4261864,253.9165053,416.4880941,169.1464421,416.2936432,169.7397432
406.217877,211.2239473,415.7461726,212.7956068,415.6939009,253.7790138,414.1718826,255.7796051,411.248206,172.0773019,419.1043791,172.9355027
398.0898233,207.4488145,413.4661466,206.7505652,401.9905431,253.2559928,409.6964772,252.8742068,400.8142603,171.6173105,416.5173663,169.193689
392.748292,209.225177,411.2528936,211.4298642,401.7397062,252.440149,387.7245728,251.2888891,391.0389048,170.0313184,397.4134944,165.2159443
