time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,,
1.258127,165.806139,415.4902572,171.7534047,420.0551739,167.4040917,512.8077122,167.473648,512.0098948,,7.497228407,0.800843732,97.33057331,,15.88255804
1.421072,163.438146,417.6520322,175.8772533,423.3577411,166.5296313,508.5400961,169.1384211,510.703049,,13.68526596,3.388827152,90.94062591,,0.961799791
1.500767,163.4082031,417.707358,176.3632547,423.0524228,165.3043873,511.0006916,168.6537117,510.1109937,,14.01438831,3.465477787,93.31260155,,11.73132183
1.546797,163.151884,416.9189643,175.8382098,422.7686497,165.0089867,510.3180098,168.8819689,509.296343,,13.97002797,4.005470531,93.41750655,,-26.14934289
1.592464,163.4097801,416.9617127,174.8511217,422.8021264,165.5685912,510.4185539,168.2102497,509.4567349,,12.84580592,2.811308489,93.48177166,,1.375877327
1.637312,163.2925736,416.8427772,175.4090353,422.889751,165.4552605,510.5521948,168.1742461,509.6241184,,13.54158544,2.873013835,93.73437023,,-6.498905109
1.699316,162.5752751,416.9088187,173.8601008,422.1485515,165.2943747,509.7894881,167.2775755,508.3170446,,12.44194884,2.470055723,92.92046196,,158.9069719
1.743919,161.8129484,415.6482931,180.8688746,420.9802104,162.5505191,506.3579539,171.5586621,509.5524152,,19.78781609,9.557783389,90.71265939,,78.39537505
1.793142,160.2739125,417.0166206,178.6498928,422.6706894,161.6881232,506.1794367,174.1114991,511.2455922,,19.22615786,13.41663893,89.17403079,,-133.7862336
1.833533,162.9137471,418.9924687,173.463168,422.6651037,162.8803844,507.7830131,169.8754408,511.6913911,,11.17043102,8.012879172,88.79055067,,9.478251647
1.879717,160.5417072,420.4834174,171.0056314,425.6034548,161.2117165,509.9584676,168.6748769,513.9225894,,11.64939881,8.450622746,89.47755876,,-69.76439697
1.926239,161.8628025,420.5369194,172.6864588,425.2984785,163.177476,510.5804657,167.4323246,513.5785886,,11.82471906,5.205043471,90.05314318,,19.28666919
1.975732,159.1428099,419.3339616,175.910654,419.8190889,164.895922,507.7473325,170.4473378,510.416122,,16.77486048,6.159598589,88.60035244,,-6.21680362
2.025727,157.420697,409.2864254,169.9531098,413.5398301,165.3858942,505.0640655,170.8397108,502.9511947,,13.23453143,5.848789492,96.10827597,,-54.86380625
2.067579,164.1721448,414.6474115,170.8011802,420.0995562,164.6821232,512.1027253,167.2867712,509.68674,,8.583122518,3.552629473,97.45664814,,10.93086438
2.110223,163.5790636,414.5271842,168.3558791,418.9377508,165.4966409,511.6014485,168.7310007,509.2162041,,6.50162011,4.018765254,97.09320209,,-36.53887978
2.15806,158.0661403,413.5373602,166.6993897,418.0564886,165.2799353,508.0399593,166.4280422,506.0807165,,9.744512132,2.270854862,94.77752938,,46.50725954
2.199773,156.6114421,415.0045978,172.0490523,420.4640382,165.9033203,510.9929779,169.686436,509.1439309,,16.374532,4.210812179,96.43706816,,16.24797644
