time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,
1.267778,241.848857,419.0129879,171.8430622,418.3227824,235.4040385,510.0190753,167.5653575,511.406858,,,67.85287452,,-92.31073771
1.416454,237.9673821,419.4846258,174.3577297,418.2714464,229.0611701,506.0988798,175.3732407,512.9908272,,,54.12848328,,-5.466222475
1.48992,237.5450663,419.3546708,174.4229352,417.8769075,228.8386506,505.8564871,175.4969259,512.2783545,,,53.72690178,,1.6758235
1.545544,237.3622933,418.9753693,174.297426,417.3409761,229.0806253,505.4992628,175.6610986,512.0535931,,,53.82011779,,8.36950821
1.589774,237.6417726,419.0504165,174.1108531,417.5055098,229.3430432,505.7304839,175.5697691,512.4404563,,,54.19030113,,2.420253896
1.639341,237.6529821,419.0302392,174.1946209,417.4416342,229.4298319,505.7148286,175.4999658,512.1315661,,,54.31026586,,78.98918707
1.689747,237.3057135,419.3505289,172.2373921,420.1875608,232.474389,509.0572942,174.4838088,514.9755669,,,58.29179482,,-33.42892759
1.726578,238.0879134,420.2829371,172.6154966,421.6163439,232.188184,508.0162862,175.4021006,513.6064415,,,57.06057399,,44.23663307
1.78144,240.286053,419.7624711,173.3697866,420.702137,233.881475,505.3550584,174.8614573,512.7980606,,,59.48748415,,-13.28944043
1.826623,239.7742127,420.4813655,174.50543,420.7942075,230.6908895,506.537649,172.2528195,513.7953323,,,58.88702737,,-19.2243335
1.859788,238.9501003,420.9175508,173.698227,418.308077,231.2638695,506.6611822,173.3983615,513.3381338,,,58.24945235,,-28.21457103
1.911031,239.8538576,420.5329295,174.4649995,420.1199614,229.3833597,507.1635989,172.8694788,512.8938929,,,56.80365308,,7.965497631
1.955095,239.9416722,419.1771796,173.9507083,418.5809825,229.973439,505.8548532,173.3100339,513.332282,,,57.15464477,,133.7941882
1.991448,239.3639804,420.3110561,172.4932933,423.3713445,232.9018346,509.7889561,171.0243837,513.9687956,,,62.0184649,,-35.1905312
2.026229,239.8771127,419.4659685,172.4674353,420.3221896,232.787231,506.7588385,172.3732939,513.5505837,,,60.79450303,,-23.72358233
2.071099,235.9930539,419.4819659,171.9741952,419.477976,231.875038,506.1578915,172.7318861,514.5103508,,,59.73002589,,20.0776108
2.129826,238.5979678,420.5255958,172.8159769,418.8503541,232.4820267,506.1298866,171.8697372,512.13586,,,60.90912374,,-36.26189085
2.179995,236.7721759,420.6451772,172.3323884,419.5267282,229.9682332,508.0420112,171.2222231,514.4077547,,,59.08990094,,-54.73879323
2.219792,234.2379013,420.1983904,171.3626657,419.4087807,229.4192683,508.8606897,172.7927978,514.5490333,,,56.91146118,,44.34295154
2.278174,234.7683989,420.4065844,171.0804315,419.0681998,231.4287071,507.9651401,172.2368221,514.0153818,,,59.50029138,,-19.62827942
2.3211,233.4323322,417.6954645,171.3506771,417.7415567,230.8018832,507.4088795,172.3874103,512.7453946,,,58.65772786,,14.12843984
2.358051,235.2402268,418.9140017,170.6747781,418.0370334,230.7007311,507.5702973,171.6698079,511.7652222,,,59.17978784,,16.26931567
2.396174,235.0337047,417.9288515,170.8377158,417.4770109,231.171077,506.8856016,171.5189727,511.0890762,,,59.80002296,,-44.87988669
2.432012,235.5120303,419.0960527,171.8461401,417.8398589,232.2171389,506.8436512,174.1830314,511.1222869,,,58.19161758,,-59.79419268
2.473505,232.1576331,420.1689795,170.5926252,420.3063442,228.3351699,507.4360105,172.916711,513.1336257,,,55.71057714,,6.747239764
